cvssSource,score,scoreSource,scoringVector,version,current_key,parent_key
NVD,9.8,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,44,44
AMAZON_CVE,3.7,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1,45,45
AMAZON_CVE,7.8,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,46,46
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,47,47
AMAZON_CVE,5.8,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:N,3.1,48,48
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,49,49
NVD,5.3,NVD,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,3.1,50,50
AMAZON_CVE,6.7,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,3.1,51,51
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,52,52
AMAZON_CVE,4.2,AMAZON_CVE,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:L/I:L/A:L,3.1,53,53
AMAZON_CVE,4.7,AMAZON_CVE,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,54,54
AMAZON_CVE,3.1,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:N,3.1,55,55
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,56,56
NVD,9.8,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,57,57
AMAZON_CVE,7.8,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,58,58
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,59,59
NVD,5.3,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,60,60
AMAZON_CVE,6.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:N/A:H,3.1,61,61
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,62,62
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,63,63
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,64,64
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,65,65
AMAZON_CVE,7.1,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,3.1,66,66
AMAZON_CVE,7.5,AMAZON_CVE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,67,67
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,68,68
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,69,69
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,70,70
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,71,71
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,72,72
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,73,73
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,74,74
AMAZON_CVE,7.1,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,3.1,75,75
AMAZON_CVE,6.4,AMAZON_CVE,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,3.1,76,76
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,77,77
NVD,8.1,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,3.1,78,78
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,79,79
NVD,9.8,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,80,80
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,81,81
AMAZON_CVE,7.8,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,82,82
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,83,83
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,84,84
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,85,85
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,86,86
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,87,87
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,88,88
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,89,89
NVD,5.3,NVD,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,90,90
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,91,91
AMAZON_CVE,4.7,AMAZON_CVE,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,92,92
AMAZON_CVE,5.3,AMAZON_CVE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,93,93
NVD,4.3,NVD,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1,94,94
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,95,95
NVD,5.6,NVD,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1,96,96
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,97,97
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,98,98
NVD,7.5,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,99,99
NVD,7.5,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,100,100
